"repo_name","author_name","author_date","commit_message"
"shadowsocks/shadowsocks-android","Mygod","08/21/2024","Merge pull request #3163 from AaronChen0/jni

fix implicit-function-declaration error when updating NDK to r26+"
"shadowsocks/shadowsocks-android","Aaron Chen","08/21/2024","Update libevent to v2.1.12"
"shadowsocks/shadowsocks-android","Mygod","08/12/2024","Update NDK"
"shadowsocks/shadowsocks-android","Aaron Chen","08/12/2024","fix implicit-function-declaration error when updating NDK to r26+"
"shadowsocks/shadowsocks-android","Max Lv","09/25/2023","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","09/25/2023","Update shadowsocks-rust to v1.15.3"
"shadowsocks/shadowsocks-android","Max Lv","09/11/2023","Revert ""Update shadowsocks-rust to v1.15.4""

This reverts commit 0bc78d1546656a85dcee38a79ddfa314d16b5694."
"shadowsocks/shadowsocks-android","Max Lv","09/11/2023","Revert ""Bump version to v5.3.4""

This reverts commit cbff7c59ea1b1bd8a7677ed9b63feeeae87b0bff."
"shadowsocks/shadowsocks-android","Max Lv","09/11/2023","Revert ""Update rust toolchain on CI""

This reverts commit 05fe742cbc0d77a7fd63001eb0ab145b932bb3a3."
"shadowsocks/shadowsocks-android","Max Lv","09/11/2023","Revert ""Bump CircleCI android image""

This reverts commit f0b5881ff6b021cdc64c5ce84765c24c47b7a53d."
"shadowsocks/shadowsocks-android","Max Lv","09/11/2023","Revert ""Update shadowsocks-rust to master""

This reverts commit 556798e58adbb120b5eef45309524f8066135f17."
"shadowsocks/shadowsocks-android","Tim Xylon","08/14/2023","Update shadowsocks-rust to master"
"shadowsocks/shadowsocks-android","Tim Xylon","08/14/2023","Bump CircleCI android image"
"shadowsocks/shadowsocks-android","Tim Xylon","08/14/2023","Update rust toolchain on CI"
"shadowsocks/shadowsocks-android","Tim Xylon","08/14/2023","Bump version to v5.3.4"
"shadowsocks/shadowsocks-android","Tim Xylon","08/14/2023","Update shadowsocks-rust to v1.15.4"
"shadowsocks/shadowsocks-android","Aaron Chen","04/22/2023","Fix base64 check"
"shadowsocks/shadowsocks-android","Aaron Chen","04/18/2023","Add githubusercontent.com to gfwlist"
"shadowsocks/shadowsocks-android","Murtaza S Vhora","04/11/2023","Corrected range for move operation (#3035)"
"shadowsocks/shadowsocks-android","dev4u","03/19/2023","Hotfix for password checking fail (#3027)

* Hotfix for `iPSK:uPSK`(2022-blake3-*) password checking fail.

* Fix password check

Fix base64 password check.
Update dependencies."
"shadowsocks/shadowsocks-android","Mygod","02/21/2023","Fix lint"
"shadowsocks/shadowsocks-android","Mygod","02/20/2023","Fix base64 check"
"shadowsocks/shadowsocks-android","Mygod","02/20/2023","Migrate to RECEIVER_NOT_EXPORTED"
"shadowsocks/shadowsocks-android","Max Lv","02/17/2023","Check if the aead-2022-cipher's keys are valid.

Fix #2995"
"shadowsocks/shadowsocks-android","Max Lv","02/17/2023","Revert ""Check if the aead-2022-cipher's keys are valid.""

This reverts commit 0cf043bf61e965768ad49727f260c27809a2ff93."
"shadowsocks/shadowsocks-android","Max Lv","02/17/2023","Check if the aead-2022-cipher's keys are valid.

Fix #2995"
"shadowsocks/shadowsocks-android","Mygod","02/12/2023","Ensure subjob is cancelled"
"shadowsocks/shadowsocks-android","Max Lv","02/07/2023","Bump version"
"shadowsocks/shadowsocks-android","Mygod","02/05/2023","Properly support predictive back"
"shadowsocks/shadowsocks-android","Mygod","02/04/2023","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","12/20/2022","Fix lint error

https://issuetracker.google.com/issues/237567009"
"shadowsocks/shadowsocks-android","Mygod","12/20/2022","Simplify build instructions in README"
"shadowsocks/shadowsocks-android","Mygod","12/20/2022","Install rust within yml"
"shadowsocks/shadowsocks-android","Mygod","12/20/2022","Fix rate calc"
"shadowsocks/shadowsocks-android","Mygod","12/20/2022","Update other dependencies"
"shadowsocks/shadowsocks-android","Max Lv","12/20/2022","Use stable rust toolchain"
"shadowsocks/shadowsocks-android","Max Lv","12/20/2022","Bump version"
"shadowsocks/shadowsocks-android","dev4u","12/19/2022","Update:
- submodule shadowsocks-rust
- build scripts as suggested: https://github.com/shadowsocks/shadowsocks-android/issues/2966#issuecomment-1356229445"
"shadowsocks/shadowsocks-android","dev4u","12/19/2022","Update dependencies"
"shadowsocks/shadowsocks-android","dev4u","09/21/2022","Fix the compile error #2930 (#2935)

Make checking python version code compatible with windows and *nix

Redefine the python version detection code"
"shadowsocks/shadowsocks-android","Max Lv","08/28/2022","Bump version"
"shadowsocks/shadowsocks-android","Mygod","07/23/2022","Remove useless code"
"shadowsocks/shadowsocks-android","Mygod","07/23/2022","Turn on fun switch"
"shadowsocks/shadowsocks-android","Mygod","07/23/2022","Misc fixes"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Downgrade AGP"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Support skipping animation in StatsBar"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Require authentication for closing service"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Declare supported languages"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Add support for monochrome icons (not recommended)"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Protect sensitive profile information when copied"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Declare POST_NOTIFICATIONS"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","08/28/2022","Use system resolver"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Fix order"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Misc fixes"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Add German and Ukrainian translations"
"shadowsocks/shadowsocks-android","Mygod","07/22/2022","Update translations

Fixes #2867."
"shadowsocks/shadowsocks-android","Max Lv","06/19/2022","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","06/19/2022","Update shadowsocks-rust to v1.15.0-alpha.5"
"shadowsocks/shadowsocks-android","Max Lv","05/27/2022","Fix the missing springAnimator"
"shadowsocks/shadowsocks-android","dev4u","05/21/2022","enable armv8, neon feathures for hardware acceleration."
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","Update config.yml

try to fix up the rust build error"
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","Modify acl rules"
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","add new ciphers feature, and reorder cipher name"
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","Update shadowsocks-rust

Update rust  dependency"
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","Just to satisfy the obsessive-compulsive disorder :-)"
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","Update .gitignore

ignore DS_Store"
"shadowsocks/shadowsocks-android","dev4u","05/20/2022","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","02/22/2022","Fix Codacy badge"
"shadowsocks/shadowsocks-android","Max Lv","12/22/2021","Add linkedin.com to gfwlist"
"shadowsocks/shadowsocks-android","Mygod","10/10/2021","Revert ""Show full proxied apps mode to compensate for missing title""

This reverts commit d21cf7b79774c898c646922a24cec66c3c8293d0.

Fixes #2806."
"shadowsocks/shadowsocks-android","Mygod","09/17/2021","v5.2.6"
"shadowsocks/shadowsocks-android","Mygod","09/17/2021","Remove extra file"
"shadowsocks/shadowsocks-android","Mygod","09/17/2021","Fix #2803"
"shadowsocks/shadowsocks-android","Mygod","09/17/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","09/06/2021","Fix lint"
"shadowsocks/shadowsocks-android","Mygod","09/05/2021","Update to AGP 7.0.2"
"shadowsocks/shadowsocks-android","Mygod","09/05/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","08/29/2021","Ensure that redirects are always followed

Fixes #2786, #2791."
"shadowsocks/shadowsocks-android","Mygod","08/08/2021","Update dnsjava"
"shadowsocks/shadowsocks-android","Mygod","08/08/2021","Remove STORAGE permission on Android 10+"
"shadowsocks/shadowsocks-android","Mygod","08/08/2021","Merge pull request #2749 from shadowsocks/s

Target Android 12"
"shadowsocks/shadowsocks-android","Mygod","08/08/2021","Update to API 31"
"shadowsocks/shadowsocks-android","Mygod","08/07/2021","Merge branch 'master' into s"
"shadowsocks/shadowsocks-android","Mygod","08/06/2021","Downgrade leanback-preference"
"shadowsocks/shadowsocks-android","Mygod","08/06/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","07/11/2021","More stupid Android 6 bugs"
"shadowsocks/shadowsocks-android","Max Lv","07/06/2021","Bump version"
"shadowsocks/shadowsocks-android","Mygod","07/05/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","06/25/2021","Fix duplicate authentication"
"shadowsocks/shadowsocks-android","Mygod","06/20/2021","Remove unused code"
"shadowsocks/shadowsocks-android","Mygod","06/19/2021","Use main thread for default network callback on API 26+"
"shadowsocks/shadowsocks-android","Mygod","06/19/2021","Deal with new requirements"
"shadowsocks/shadowsocks-android","Mygod","06/19/2021","Use OsConstants.ENONET"
"shadowsocks/shadowsocks-android","Mygod","06/19/2021","Use registerBestMatchingNetworkCallback"
"shadowsocks/shadowsocks-android","Mygod","06/19/2021","Update sdk to S"
"shadowsocks/shadowsocks-android","Mygod","06/19/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","06/08/2021","Bump version"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Only show progress when connecting is taking too long"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Only show progress for connecting"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Remove elevation from progress"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Add progress indicator to ServiceButton"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Use MaterialAlertDialogBuilder"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Show full proxied apps mode to compensate for missing title"
"shadowsocks/shadowsocks-android","Mygod","05/31/2021","Fix typo"
"shadowsocks/shadowsocks-android","Mygod","05/25/2021","Bring back semitransparent TV app via build variants (#2741)

This creates two variants for tv, freedom containing the original design, and google containing one matching Google's nonsense guideline. The former should be published on GitHub and elsewhere.

Revert ""Revert ""Revert ""Revert ""Revert ""Make app fullscreen to match guidelines""""""""""

This reverts commit 0c67ac6a6a01ab7eb2dfdf9e6d282fa799578206."
"shadowsocks/shadowsocks-android","Mygod","05/23/2021","Update dependencies"
"shadowsocks/shadowsocks-android","SquallATF","05/10/2021","Allowed build under msys2 or cygwin"
"shadowsocks/shadowsocks-android","SquallATF","05/10/2021","Fix windows build failed #2666 #2711"
"shadowsocks/shadowsocks-android","Mygod","05/11/2021","Handle illegal profiles properly"
"shadowsocks/shadowsocks-android","Max Lv","05/11/2021","Update the maven publish plugin (#2734)

1. Remove the unnecessary custom URL
2. Replace jcenter with mavenCentral"
"shadowsocks/shadowsocks-android","Mygod","05/09/2021","Set useLegacyPackaging"
"shadowsocks/shadowsocks-android","Mygod","05/09/2021","Enable Parallel GC"
"shadowsocks/shadowsocks-android","Mygod","05/09/2021","Make plugin library depend on minimum version instead"
"shadowsocks/shadowsocks-android","Mygod","05/09/2021","Downgrade fragment to 1.3.2

Fixes #2733."
"shadowsocks/shadowsocks-android","Max Lv","05/09/2021","Bump version"
"shadowsocks/shadowsocks-android","Mygod","05/08/2021","Resolve server name dynamically always (#2731)

Fixes #2722."
"shadowsocks/shadowsocks-android","Mygod","05/08/2021","Double fixes touch target"
"shadowsocks/shadowsocks-android","Mygod","05/08/2021","Refine search to respect locale"
"shadowsocks/shadowsocks-android","Mygod","05/06/2021","Update core and remove workaround"
"shadowsocks/shadowsocks-android","Mygod","05/06/2021","Make code style more Kotlin"
"shadowsocks/shadowsocks-android","Mygod","05/06/2021","Check crypto before init"
"shadowsocks/shadowsocks-android","Mygod","05/06/2021","Check plugin properly

Fix #2667."
"shadowsocks/shadowsocks-android","Mygod","05/06/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","04/18/2021","Update shadowsocks-rust and add back some ciphers

Fix #2705 and #2663."
"shadowsocks/shadowsocks-android","Mygod","04/16/2021","Downgrade gradle plugin"
"shadowsocks/shadowsocks-android","Mygod","04/16/2021","Fixed required targetFragments for preference"
"shadowsocks/shadowsocks-android","Mygod","04/16/2021","Mark underlyingNetwork as volatile

Attempts at addressing #2667."
"shadowsocks/shadowsocks-android","Mygod","04/16/2021","Use default udp_timeout=300 instead

Refine #2625."
"shadowsocks/shadowsocks-android","Mygod","04/15/2021","Ignore if connection was prematurely closed"
"shadowsocks/shadowsocks-android","Mygod","04/15/2021","Suppress logging unsupported query type errors"
"shadowsocks/shadowsocks-android","Max Lv","04/15/2021","Add search tool for profiles (#2682)"
"shadowsocks/shadowsocks-android","Mygod","04/15/2021","Prevent crashing on shitty ROMs"
"shadowsocks/shadowsocks-android","Mygod","04/14/2021","Remove unused field"
"shadowsocks/shadowsocks-android","Mygod","04/14/2021","Migrate the rest to fragment result API"
"shadowsocks/shadowsocks-android","Mygod","04/14/2021","Remove useless dependency update"
"shadowsocks/shadowsocks-android","Mygod","04/14/2021","Migrate AlertDialogFragment to fragment result API"
"shadowsocks/shadowsocks-android","Mygod","04/14/2021","Bump plugin to 2.0.1"
"shadowsocks/shadowsocks-android","Mygod","04/14/2021","Fix deprecation of adapterPosition"
"shadowsocks/shadowsocks-android","Mygod","04/13/2021","Update dependencies

Fixes #2699."
"shadowsocks/shadowsocks-android","Mygod","04/13/2021","Fix #2679"
"shadowsocks/shadowsocks-android","Max Lv","04/07/2021","Update shadowsocks-rust to v1.10.3"
"shadowsocks/shadowsocks-android","Max Lv","03/14/2021","Refine the code style"
"shadowsocks/shadowsocks-android","Max Lv","03/14/2021","Refine the JSON config file for ss-rust 1.10"
"shadowsocks/shadowsocks-android","Mygod","02/28/2021","Ignore all exceptions whilst updating subscriptions"
"shadowsocks/shadowsocks-android","Max Lv","02/22/2021","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","02/18/2021","Enlarge the buffer size of a UDP connection"
"shadowsocks/shadowsocks-android","Max Lv","02/07/2021","Refine error message"
"shadowsocks/shadowsocks-android","Max Lv","02/07/2021","Drop packet if out of buffer"
"shadowsocks/shadowsocks-android","Goooler","02/07/2021","Update dependencies (#2672)

* Update dependencies

* Refine code style

* Bump gradle to 6.8.2"
"shadowsocks/shadowsocks-android","Mygod","01/30/2021","Refine code style"
"shadowsocks/shadowsocks-android","Mygod","01/26/2021","Use work-multiprocess"
"shadowsocks/shadowsocks-android","Mygod","01/26/2021","Remove unused gcm work library for API 23+"
"shadowsocks/shadowsocks-android","Mygod","01/26/2021","Fix deprecation of kotlin extensions"
"shadowsocks/shadowsocks-android","Mygod","01/25/2021","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","01/23/2021","Fix #2665"
"shadowsocks/shadowsocks-android","Max Lv","01/12/2021","Remove the non-ietf chacha20 and salsa20 ciphers"
"shadowsocks/shadowsocks-android","Max Lv","01/12/2021","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","01/11/2021","Fix #2301"
"shadowsocks/shadowsocks-android","Max Lv","01/05/2021","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","01/05/2021","Check deprecated ciphers (#2651)"
"shadowsocks/shadowsocks-android","Max Lv","01/05/2021","Revert to local UDS resolver

Fix #2650"
"shadowsocks/shadowsocks-android","Max Lv","01/04/2021","Update shadowsocks-rust"
"shadowsocks/shadowsocks-android","Max Lv","01/04/2021","Fix the ByteBuffer allocation"
"shadowsocks/shadowsocks-android","Max Lv","12/31/2020","Switch to local UDP DNS resolver (#2635)

* Switch to the local UDP DNS resolver

* Update shadowsocks-rust

* Revert the rustup commands

* Fix #2642"
"shadowsocks/shadowsocks-android","Max Lv","12/26/2020","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","12/26/2020","Fix #2638"
"shadowsocks/shadowsocks-android","Max Lv","12/25/2020","Update shadowsocks-rust to 1.9.0 (#2622)"
"shadowsocks/shadowsocks-android","cyber386","12/24/2020","Fix little problem of profile switching"
"shadowsocks/shadowsocks-android","Max Lv","12/16/2020","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","12/16/2020","Limit open sockets to 256 in UDP association. Fix #2625"
"shadowsocks/shadowsocks-android","Max Lv","12/16/2020","Refine #2571"
"shadowsocks/shadowsocks-android","Mygod","12/15/2020","Refine error message"
"shadowsocks/shadowsocks-android","Mygod","12/15/2020","Fix #2571"
"shadowsocks/shadowsocks-android","Mygod","12/15/2020","Update barcode-scanning"
"shadowsocks/shadowsocks-android","Mygod","12/15/2020","Fix #2623"
"shadowsocks/shadowsocks-android","Mygod","12/15/2020","Fix platform insets on API 29-"
"shadowsocks/shadowsocks-android","Mygod","12/11/2020","Use Parcelize for TrafficStats"
"shadowsocks/shadowsocks-android","Max Lv","12/15/2020","Update shadowsocks-rust to 1.8.23"
"shadowsocks/shadowsocks-android","Max Lv","12/14/2020","Enable single-threaded"
"shadowsocks/shadowsocks-android","Max Lv","12/11/2020","Remove old ciphers. Fix #2621"
"shadowsocks/shadowsocks-android","Mygod","12/09/2020","Refine code style"
"shadowsocks/shadowsocks-android","Mygod","12/08/2020","Clean up code"
"shadowsocks/shadowsocks-android","Mygod","12/07/2020","Migrate away from deprecated APIs with core 1.3.0-alpha05"
"shadowsocks/shadowsocks-android","Mygod","12/07/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","12/02/2020","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","12/02/2020","Revert camera-view back to alpha17"
"shadowsocks/shadowsocks-android","Max Lv","12/01/2020","Clean up and bump version"
"shadowsocks/shadowsocks-android","Max Lv","10/20/2020","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","10/20/2020","Merge pull request #2585 from shadowsocks/plugin-2.0.0

Plugin 2.0.0"
"shadowsocks/shadowsocks-android","Max Lv","10/20/2020","Update shadowsocks-rust"
"shadowsocks/shadowsocks-android","Mygod","10/04/2020","Remove unnecessary parentheses"
"shadowsocks/shadowsocks-android","Mygod","10/04/2020","Switch to __android_vpn"
"shadowsocks/shadowsocks-android","Max Lv","10/02/2020","Pass a value with the VPN option, if plugin version < 2.0"
"shadowsocks/shadowsocks-android","Mygod","10/02/2020","Add isV2 to PluginManager.InitResult"
"shadowsocks/shadowsocks-android","Mygod","10/02/2020","Bump plugin lib version to 2.0.0"
"shadowsocks/shadowsocks-android","Mygod","10/01/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","09/04/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","08/24/2020","Bump version"
"shadowsocks/shadowsocks-android","Mygod","08/23/2020","Fix build"
"shadowsocks/shadowsocks-android","Mygod","08/17/2020","Use singleTask launchMode"
"shadowsocks/shadowsocks-android","Mygod","08/17/2020","Update leanback theme to appcompat"
"shadowsocks/shadowsocks-android","Mygod","08/17/2020","Deprecate old backup mechanism for Android 5-"
"shadowsocks/shadowsocks-android","Mygod","08/17/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","08/10/2020","Add missing type"
"shadowsocks/shadowsocks-android","Mygod","08/10/2020","Simplify code"
"shadowsocks/shadowsocks-android","Mygod","08/03/2020","Decouple main dependencies from plugin lib"
"shadowsocks/shadowsocks-android","Mygod","08/03/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","07/23/2020","Update shadowsocks-rust"
"shadowsocks/shadowsocks-android","Max Lv","07/23/2020","Remove UDP upstream DNS support. Fix #2564 #2518"
"shadowsocks/shadowsocks-android","Mygod","07/23/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","07/18/2020","Merge pull request #2563 from Mygod/min-api-23

Drop support for Android Lollipop"
"shadowsocks/shadowsocks-android","Mygod","07/17/2020","Drop support for Android Lollipop"
"shadowsocks/shadowsocks-android","Mygod","07/16/2020","Set VPN flag properly

Refine #2562."
"shadowsocks/shadowsocks-android","Mygod","07/16/2020","Update Android gradle"
"shadowsocks/shadowsocks-android","Max Lv","07/16/2020","Fix #2562"
"shadowsocks/shadowsocks-android","Mygod","07/14/2020","Fix #2557"
"shadowsocks/shadowsocks-android","Mygod","07/09/2020","Refine PTR compat"
"shadowsocks/shadowsocks-android","Mygod","07/09/2020","Skip processing if EOS is reached"
"shadowsocks/shadowsocks-android","Mygod","07/09/2020","Suppress cancellation exceptions"
"shadowsocks/shadowsocks-android","Mygod","07/09/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Max Lv","07/08/2020","Bump version"
"shadowsocks/shadowsocks-android","Mygod","06/28/2020","Refine Scanner"
"shadowsocks/shadowsocks-android","Mygod","06/28/2020","Add ActionBar to details activity"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Add ActionBar to oss activity"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Partially migrate to ActivityResultContracts

AlertDialogFragment will be migrated after the API goes stable."
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Add missing serialVersionUID"
"shadowsocks/shadowsocks-android","Max Lv","06/26/2020","Merge pull request #2551 from Mygod/mlkit

Migrate to ML kit for scanning QR code"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Fix missing Serializable declaration"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Lock orientation to prevent camera recreation"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Make scanner immersive"
"shadowsocks/shadowsocks-android","Mygod","06/26/2020","Migrate to ML kit for scanning QR code

Fixes #2548."
"shadowsocks/shadowsocks-android","Mygod","06/25/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","06/19/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","06/18/2020","Only match exported plugins"
"shadowsocks/shadowsocks-android","Max Lv","06/17/2020","Fix #2546"
"shadowsocks/shadowsocks-android","Mygod","06/14/2020","Deprecate using Handler"
"shadowsocks/shadowsocks-android","Mygod","06/12/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Downgrade coroutines"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Fix ambiguous coroutineContext"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Merge pull request #2507 from Mygod/r

Support Android 11 beta 1"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Refine code style"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Request QUERY_ALL_PACKAGES for mobile"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Update to Android 11 beta 1"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Merge branch 'master' into r"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Disable RemoveWorkManagerInitializer lint for apps"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Suppress BadConfigurationProvider"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Remove unnecessary directBootAware overloading"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Do not use WorkManager in device storage"
"shadowsocks/shadowsocks-android","Mygod","06/11/2020","Fix unchecked cast"
"shadowsocks/shadowsocks-android","Mygod","06/10/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","06/05/2020","Remove unnecessary isExperimental"
"shadowsocks/shadowsocks-android","Max Lv","06/01/2020","Disable UDP relay if plugin is enabled and no fallback"
"shadowsocks/shadowsocks-android","Mygod","05/29/2020","Do not suppress IOException"
"shadowsocks/shadowsocks-android","Mygod","05/19/2020","Clean up unused code"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Suppress EACCES for ProtectWorker"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Use any address as default DNS"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Refine handling duplicate plugins"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Handle IOException while reading"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Suppress network unspecified exceptions"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Prevent querying PTR on custom Network"
"shadowsocks/shadowsocks-android","Mygod","05/15/2020","Add support for PTR queries"
"shadowsocks/shadowsocks-android","Mygod","05/13/2020","Show more information on conflicting plugins

Because one of you feckers just cannot learn to be decent."
"shadowsocks/shadowsocks-android","Mygod","05/11/2020","Remote DNS setting is enabled unconditionally"
"shadowsocks/shadowsocks-android","Mygod","05/13/2020","Update dependencies"
"shadowsocks/shadowsocks-android","Mygod","05/13/2020","Use cp.cloudflare.com for connectivity test

Credits: https://www.v2ex.com/t/656983#r_8748918"
"shadowsocks/shadowsocks-android","Mygod","05/08/2020","Revert ""Add RUST_BACKTRACE""

This reverts commit fdff88e0ee9dcba3ed95ca36b10684082045c062.

ndk-stack should be used instead."
"shadowsocks/shadowsocks-android","Max Lv","05/07/2020","Rename cipher plain to none"
"shadowsocks/shadowsocks-android","Mygod","05/06/2020","Improve accessibility"
"shadowsocks/shadowsocks-android","Max Lv","05/06/2020","Bump version"
"shadowsocks/shadowsocks-android","Max Lv","05/05/2020","Update shadowsocks-rust"
"shadowsocks/shadowsocks-android","Mygod","05/04/2020","Suppress write errors to protect_path"
"shadowsocks/shadowsocks-android","Mygod","05/04/2020","Use rethrowAsSocketException"
"shadowsocks/shadowsocks-android","Mygod","05/04/2020","Add RUST_BACKTRACE"
"shadowsocks/shadowsocks-android","Mygod","05/04/2020","Refine gradle files"
"shadowsocks/shadowsocks-android","Max Lv","05/04/2020","Refine release build process"
