"Year","Date","Views","Shares","Url","Content","Extracted URL 1","Extracted URL 2","Extracted URL 3","Extracted URL 4","Extracted URL 5","Extracted URL 6","Extracted URL 7","Extracted URL 8","Extracted URL 9","Extracted URL 10","Extracted URL 11","Extracted URL 12","Extracted URL 13","Extracted URL 14","Extracted URL 15","Extracted URL 16","Extracted URL 17","Extracted URL 18","Extracted URL 19","Extracted URL 20","Extracted URL 21","Extracted URL 22","Extracted URL 23","Extracted URL 24","Extracted URL 25","Extracted URL 26","Extracted URL 27","Extracted URL 28","Extracted URL 29","Extracted URL 30","Extracted URL 31","Extracted URL 32","Extracted URL 33","Extracted URL 34","Extracted URL 35","Extracted URL 36","Extracted URL 37","Extracted URL 38","Extracted URL 39","Extracted URL 40","Extracted URL 41","Extracted URL 42","Extracted URL 43","Extracted URL 44","Extracted URL 45","Extracted URL 46","Extracted URL 47","Extracted URL 48","Extracted URL 49","Extracted URL 50","Extracted URL 51","Extracted URL 52","Extracted URL 53","Extracted URL 54","Extracted URL 55","Extracted URL 56","Extracted URL 57","Extracted URL 58","Extracted URL 59","Extracted URL 60","Extracted URL 61","Extracted URL 62"
2019,2019-12-29 09:04:50,660,0,"https://t.me/DuyaoSS/2341","漫威电影宇宙新阶段开幕，2020 年你能在电影院看到这些超级英雄电影 [by 潘誉晗]
https://sspai.com/post/58010","https://sspai.com/post/58010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-28 11:16:08,9744,0,"https://t.me/DuyaoSS/2337","2019.12.28  晚7点测速

测速机场：繁星极速

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2OyWnBv


频道 @DuyaoSS","https://bit.ly/2OyWnBv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-28 10:36:09,9999,3,"https://t.me/DuyaoSS/2333","2019.12.28  晚6点半测速

测速机场：Boslife，中转机场

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2SzwfZY


频道 @DuyaoSS","https://bit.ly/2SzwfZY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-27 06:27:54,365,0,"https://t.me/DuyaoSS/2332","Clash for Windows 更新至 0.8.7：

- 升级 Clash core 
- 增加 Provider 控制界面用于更新及延迟测试
- Feedback 中增加 clash-config-builder 的跳转
- 卸载时删除 AppData 中多余数据
- 修复某些情况下缩放异常问题
- 防止界面元素被异常拖动
- 修复 UI 问题

* 周末愉快

[安装包下载](https://github.com/Fndroid/clash_for_windows_pkg/releases/tag/0.8.7)        [送杯咖啡](https://t.me/fndroid_news/399)","https://github.com/Fndroid/clash_for_windows_pkg/releases/tag/0.8.7","https://t.me/fndroid_news/399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-26 14:00:58,10519,8,"https://t.me/DuyaoSS/2331","2019.12.26  晚9点半测速

测速机场：次元链接；(12月23日-12月27日) 期间余额充值或商店支付为9折，叠加年付8折后套餐72折

测速带宽

清晰图1 北京联通500M：https://bit.ly/2Ss7TBi

清晰图2 上海电信300M：https://bit.ly/2EUzAuE

清晰图3 江苏移动500M：https://bit.ly/35YrooX


官网：https://bit.ly/2MsXBNk


频道 @DuyaoSS","https://bit.ly/2Ss7TBi","https://bit.ly/2EUzAuE","https://bit.ly/35YrooX","https://bit.ly/2MsXBNk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-26 12:13:09,9952,2,"https://t.me/DuyaoSS/2327","2019.12.26  晚8点测速

测速机场：喵帕斯，三级套餐；清晰图等下看[博客

](https://www.duyaoss.com/archives/3/) 测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://www.喵帕斯.com 


频道 @DuyaoSS","https://www.duyaoss.com/archives/3/","https://www.喵帕斯.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-25 14:14:32,9587,3,"https://t.me/DuyaoSS/2323","2019.12.25  晚10点测速

测速机场：泡芙云；年付75折优惠码：2020 

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网： https://bit.ly/2Y1uZiL


频道 @DuyaoSS","https://bit.ly/2Y1uZiL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-25 13:33:30,8494,1,"https://t.me/DuyaoSS/2319","2019.12.25  晚9点测速

测速机场：少数派，中转机场 

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2tInbr5


频道 @DuyaoSS","https://bit.ly/2tInbr5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-25 12:53:17,8672,2,"https://t.me/DuyaoSS/2315","2019.12.25  晚8点半测速

测速机场：卡车云

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2sZPHUP


频道 @DuyaoSS","https://bit.ly/2sZPHUP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-24 07:05:13,9681,5,"https://t.me/DuyaoSS/2309","https://youtu.be/x1eO9eVUvkA","https://youtu.be/x1eO9eVUvkA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-23 15:33:01,9106,2,"https://t.me/DuyaoSS/2304","2019.12.23  晚11点测速

测速机场：928Net，中转机场

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网： https://bit.ly/2MlFo4r


频道 @DuyaoSS","https://bit.ly/2MlFo4r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-23 15:01:38,8740,2,"https://t.me/DuyaoSS/2300","2019.12.23  晚10点半测速

测速机场：MoCloudPlus，常州联通中转；清晰图见[博客

](https://www.duyaoss.com/archives/3/)测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网： https://bit.ly/2sdRKEL 


频道 @DuyaoSS","https://www.duyaoss.com/archives/3/)测速带宽：图1北京联通500M，图2上海","https://bit.ly/2sdRKEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-23 13:50:32,9559,2,"https://t.me/DuyaoSS/2296","2019.12.23  晚9点半测速

测速机场：STC-Server，只是V4部分节点

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2ZeBNKG


频道 @DuyaoSS","https://bit.ly/2ZeBNKG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-22 12:48:39,10035,7,"https://t.me/DuyaoSS/2292","2019.12.22  晚8点半测速

测速机场：Nexitally，中转机场

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网： https://bit.ly/2QRODME         

TG： https://t.me/nexitallyusers


频道 @DuyaoSS","https://bit.ly/2QRODME","https://t.me/nexitallyusers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-22 12:11:08,9620,2,"https://t.me/DuyaoSS/2288","2019.12.22  晚8点测速

测速机场：MIMEMI

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/36AJkqy


频道 @DuyaoSS","https://bit.ly/36AJkqy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-20 13:26:35,10846,3,"https://t.me/DuyaoSS/2279","2019.12.20  晚9点测速

测速机场：布丁网络加速，新接触不了解，联通中转V2机场；限时五折优惠码：50off

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2PKFEvX


频道 @DuyaoSS","https://bit.ly/2PKFEvX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-19 21:41:55,16059,122,"https://t.me/DuyaoSS/2278","庆余年，已完结46集

https://www.nfmovies.com/video/?41670-1-45.html

http://cs.soso6.top/index.php/vod/play/id/26367/sid/1/nid/35.html","https://www.nfmovies.com/video/?41670-1-45.html","http://cs.soso6.top/index.php/vod/play/id/26367/sid/1/nid/35.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-19 14:05:13,10337,1,"https://t.me/DuyaoSS/2274","2019.12.19  晚9点半测速

测速机场：36dCup

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2EBfnK5


频道 @DuyaoSS","https://bit.ly/2EBfnK5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-18 06:50:49,193,0,"https://t.me/DuyaoSS/2273","#APP #iOS

今天群友介绍了一款 iOS 下的滚动截屏工具 ScrollingScreenshot

👉 内测地址：https://testflight.apple.com/join/neWZqsq8

👉 Features：

和所有的截图再拼接成长图思路不同，该软件调用录屏功能，并将用户滚动过的页面自动生成长截图，可以说是十分好用。并且像录制屏幕一样，可以针对所有应用和场景截图，不局限于网页

该应用目前还没有上架，大家可以先使用测试版本

👉 存在的问题：
 
如图，AssistiveTouch 影响显示了效果，目前还不能自动去除

频道：@NewlearnerChannel","https://testflight.apple.com/join/neWZqsq8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-17 11:51:23,8368,1,"https://t.me/DuyaoSS/2265","2019.12.17  晚7点半测速

测速机场：云翼网络，原辉耀网络

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/2YUJtBw


频道 @DuyaoSS","https://bit.ly/2YUJtBw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-17 11:02:56,8003,3,"https://t.me/DuyaoSS/2261","2019.12.17  晚6点半测速

测速机场：榴花云

测速带宽：图1北京联通500M，图2上海 #电信 300M，图3江苏 #移动 500M

官网：https://bit.ly/35BySO9


频道 @DuyaoSS","https://bit.ly/35BySO9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,2019-12-16 11:11:32,363,0,"https://t.me/DuyaoSS/2258","2019年12月15日:
【脚本】新增 ChinaDNS-NG 。（来自 zfl9 的 ChinaDNS 重构版本）( https://github.com/zfl9/chinadns-ng )
【固件】使用 ssrr 项目代替 ssr。( https://github.com/shadowsocksrr/shadowsocksr-libev )

👉下载地址： https://opt.cn2qq.com/padavan
👉旧文件下载地址： https://1.cn2qq.com/旧文件/
#一键自动更新固件脚本
wget --no-check-certificate -O- https://opt.cn2qq.com/opt-script/up.sh > /tmp/up.sh && bash < /tmp/up.sh &","https://github.com/zfl9/chinadns-ng","https://github.com/shadowsocksrr/shadowsocksr-libev","https://opt.cn2qq.com/padavan","https://1.cn2qq.com/旧文件/","https://opt.cn2qq.com/opt-script/up.sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
